"Dates","MISC MK Equity","PBK MK Equity","HAP MK Equity","KLK MK Equity","HLBK MK Equity","PTG MK Equity","TOPG MK Equity","GENM MK Equity","DIGI MK Equity","CIMB MK Equity","SUCB MK Equity","AXIATA MK Equity","PEP MK Equity","MAXIS MK Equity","HART MK Equity","SIME MK Equity","PCHEM MK Equity","NESZ MK Equity","DLG MK Equity","MAY MK Equity","TNB MK Equity","PETD MK Equity","T MK Equity","GENT MK Equity","IOI MK Equity","HLFG MK Equity","RHBBANK MK Equity","SDPL MK Equity","IHH MK Equity","PMAH MK Equity","MRDIY MK Equity","KLCCSS MK Equity","AMM MK Equity","MAHB MK Equity","IJM MK Equity","ROTH MK Equity","YTL MK Equity","WPRTS MK Equity","ASTRO MK Equity","SAPE MK Equity","UMWH MK Equity","FGV MK Equity","IOIPG MK Equity","UEMS MK Equity","BAB MK Equity","YTLP MK Equity","MMHE MK Equity","AAGB MK Equity","GAM MK Equity"
05-Jan-17,5.82152,3.38398,7.63517,21.7256,11.75322,17.10793,0.72769,3.65988,4.05259,3.80462,0.44507,4.07466,12.22928,5.10292,2.1486,1.48779,6.04864,70.371,1.48065,5.82502,10.52839,20.53605,5.2634,6.84926,3.88386,13.41744,3.92336,,6.20885,0.83649,,6.3315,3.71034,5.71804,2.94102,33.7126,1.25704,3.63913,1.96801,1.69254,3.9888,1.57122,1.74946,1.07497,0.66,1.09641,1.00351,1.13526,4.45741
06-Jan-17,5.87742,3.38056,7.65237,21.6896,11.63061,17.28266,0.73521,3.67569,4.0692,3.83756,0.44922,4.21048,12.09222,5.21311,2.15756,1.4948,6.08262,69.57707,1.4711,5.89711,10.54365,20.48432,5.28976,6.9268,3.9279,13.52712,3.97271,,6.16034,0.82704,,6.31537,3.73623,5.70866,2.9589,33.81796,1.24893,3.65601,1.99771,1.71211,4.09517,1.61771,1.77421,1.08483,0.65,1.089,1.01316,1.1148,4.45741
09-Jan-17,5.97325,3.40785,7.65237,21.7076,11.70067,17.07616,0.72701,3.73103,4.0775,3.91167,0.44714,4.40969,12.25974,5.21311,2.18441,1.49831,6.14209,69.70338,1.48065,5.95478,10.68098,20.48432,5.51822,7.02157,3.97193,13.43572,4.08786,,6.20885,0.83177,,6.29117,3.77074,5.64305,2.96784,33.86311,1.25704,3.58846,2.01999,1.72189,4.0863,1.60841,1.80722,1.09469,0.64,1.0816,0.99386,1.14037,4.46647
10-Jan-17,5.96526,3.41127,7.60938,21.7796,11.77073,17.13969,0.71881,3.75474,4.0775,3.91991,0.43883,4.30103,12.2902,5.15378,2.17098,1.47377,6.14209,69.27033,1.48065,5.94757,10.58943,20.65675,5.43035,6.93541,3.96312,13.67336,4.02206,,6.17975,0.83649,,6.31537,3.83114,5.65242,2.99466,34.16411,1.24082,3.61379,2.00514,1.70232,4.10403,1.6363,1.79897,1.07497,0.635,1.07419,1.00351,1.10969,4.48459
11-Jan-17,5.94131,3.4215,7.73835,21.7976,11.68315,16.67904,0.71881,3.81798,4.09411,3.96109,0.44299,4.29198,12.38158,5.23854,2.16203,1.48078,6.09111,68.87336,1.4711,5.9692,10.55891,20.53605,5.41277,7.05603,3.95432,13.70992,4.06318,,6.20885,0.84122,,6.31537,3.83977,5.65242,3.03041,34.35977,1.23271,3.63068,2.00514,1.67297,4.0863,1.6363,1.80722,1.08483,0.635,1.07419,0.98421,1.1148,4.47553
12-Jan-17,6.01318,3.4215,7.63517,21.7616,11.7357,16.67904,0.72701,3.83379,4.08581,3.96932,0.44299,4.29198,12.44249,5.20464,2.15308,1.48779,6.09111,68.56662,1.48065,5.98362,10.66572,20.58778,5.36005,7.1508,3.96312,13.70992,4.06318,,6.24765,0.8743,,6.37183,3.85703,5.73679,3.02147,35.21763,1.24082,3.59691,2.00514,1.67297,4.14835,1.6363,1.79897,1.09469,0.635,1.0816,0.99386,1.21708,4.47553
13-Jan-17,5.98124,3.42832,7.65237,21.7976,11.78825,16.58373,0.71881,3.79426,4.06089,3.99403,0.44714,4.25576,12.42726,5.21311,2.12622,1.49831,6.1166,68.56662,1.4902,5.99083,10.68098,20.51881,5.38641,7.19388,3.96312,13.78304,4.09608,,6.13124,0.86957,,6.3073,3.88292,5.87739,3.02147,36.12065,1.24893,3.60535,2.00514,1.66319,4.07744,1.66419,1.79072,1.10455,0.635,1.07419,0.98421,1.27844,4.47553
16-Jan-17,5.96526,3.4215,7.67816,21.7076,11.56054,16.52019,0.71881,3.77845,4.0692,3.96932,0.44922,4.26481,12.25974,5.17921,2.09489,1.48954,6.00616,68.56662,1.49976,5.99804,10.60469,20.51881,5.29854,7.11634,3.97193,13.70992,4.04673,,6.13124,0.8932,,6.3315,3.87429,5.77428,3.02147,33.7126,1.23271,3.61379,2.00514,1.65341,4.13062,1.6363,1.74946,1.08483,0.62,1.06678,0.97456,1.25799,4.47553
17-Jan-17,5.95728,3.41468,7.65237,21.7796,11.61309,16.2978,0.70514,3.73893,4.0692,3.88697,0.44299,4.27387,12.42726,5.11139,2.08594,1.48078,6.09111,68.38618,1.48065,5.81781,10.60469,20.51881,5.36005,7.16803,3.95432,13.69164,3.99738,,6.09243,0.8743,,6.3073,3.8484,5.76491,2.9589,33.86311,1.24082,3.61379,2.03485,1.62406,4.1129,1.627,1.77421,1.08483,0.61,1.05937,0.96491,1.21196,4.42117
18-Jan-17,5.96526,3.40444,7.61797,21.7976,11.68315,15.82126,0.71197,3.75474,4.11072,3.90344,0.44091,4.21048,12.39681,5.17073,2.05908,1.48954,6.10811,67.48399,1.48065,5.90432,10.61994,20.26017,5.37763,7.1508,3.95432,13.70992,4.07963,,6.12154,0.88848,,6.31537,3.8484,5.81178,2.97678,33.84806,1.24082,3.60535,2.04227,1.63384,4.0863,1.60841,1.76596,1.08483,0.615,1.05937,0.96491,1.25799,4.46647
